Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
2021-05-21;09:52:45;5;0.45;1015.33;1007.01;473.25;19.108169;1;340426265;2.829;2.658;2.675;43.999;39.784;37.978;
2021-05-21;09:52:47;5;0.45;1015.24;1007.01;474.75;19.10817;1;340426267;2.495;2.343;2.358;43.998;39.789;37.979;
2021-05-21;09:52:49;5;0.45;1014.92;1006.98;471.5;19.109151;1;340426269;2.694;2.531;2.547;44.002;39.774;37.977;
2021-05-21;09:52:51;5;0.45;1014.97;1007.01;465.187;19.110133;1;340426271;2.949;2.771;2.788;44.005;39.769;37.977;
2021-05-21;09:52:53;5;0.45;1014.97;1007.0;474.75;19.107679;1;340426273;2.45;2.302;2.316;44.002;39.769;37.977;
2021-05-21;09:52:55;5;0.45;1015.27;1006.99;490.875;19.115532;1;340426275;2.484;2.334;2.348;43.988;39.779;37.978;
2021-05-21;09:52:57;5;0.45;1015.19;1007.03;474.625;19.107679;1;340426277;2.39;2.245;2.259;43.996;39.779;37.978;
2021-05-21;09:52:59;5;0.45;1014.76;1007.02;465.375;19.110623;1;340426279;2.794;2.625;2.641;44.008;39.779;37.978;
2021-05-21;09:53:01;5;0.45;1014.74;1007.01;465.312;19.110623;1;340426281;2.695;2.532;2.547;44.01;39.784;37.978;
2021-05-21;09:53:03;5;0.45;1015.29;1006.99;438.625;19.10817;1;340426283;2.675;2.513;2.529;43.991;39.779;37.978;
2021-05-21;09:53:05;5;0.45;1015.19;1007.0;414.437;19.107679;1;340426285;2.55;2.395;2.41;44.0;39.784;37.978;
2021-05-21;09:53:07;5;0.451;1015.0;1007.0;481.562;19.124365;1;340426287;2.41;2.263;2.278;43.993;39.784;37.978;
2021-05-21;09:53:09;5;0.45;1014.82;1006.99;475.25;19.122403;1;340426289;2.39;2.245;2.259;43.999;39.779;37.978;
2021-05-21;09:53:11;5;0.45;1014.74;1006.97;461.75;19.122893;1;340426291;2.46;2.311;2.325;44.005;39.774;37.96;
2021-05-21;09:53:13;5;0.45;1015.31;1006.97;440.875;19.10866;1;340426293;2.59;2.433;2.448;43.993;39.779;37.978;
2021-05-21;09:53:15;5;0.45;1015.28;1006.98;474.375;19.109642;1;340426295;2.65;2.489;2.505;43.999;39.779;37.978;
2021-05-21;09:53:17;5;0.45;1014.89;1006.99;467.937;19.126329;1;340426297;2.805;2.635;2.652;44.003;39.779;37.978;
2021-05-21;09:53:19;5;0.45;1014.75;1006.98;474.75;19.138108;1;340426299;3.03;2.847;2.865;44.0;39.779;37.978;
